Wavelength (nm);% Transmission;% Reflectance
250;0.447081672;15.12330486
251;1.537321721;14.46883449
252;0.524112968;14.14937913
253;1.688068145;13.17900731
254;0.548417438;13.24456579
255;0.319086586;11.4826652
256;1.60471668;11.33492089
257;1.221440456;9.93994431
258;0.773350856;9.051989637
259;1.492910565;8.375382056
260;1.531635783;7.513514806
261;0.649184729;6.39274148
262;0.470393358;6.985003853
263;0.853772929;5.504979248
264;0.985800202;4.277738854
265;1.412054089;3.215820357
266;1.080216499;3.456830087
267;1.168090455;3.133849576
268;1.319155489;2.553670008
269;1.745307246;2.730718204
270;0.530056723;3.692832025
271;1.556716736;3.979450503
272;1.051237803;4.220320244
273;1.1147649;4.236318342
274;0.986945451;4.200883322
275;0.661617637;4.771203961
276;2.435131502;2.707651488
277;1.514320377;2.870529849
278;1.503839578;2.618185013
279;0.903349235;6.314468
280;0.674070003;7.39554667
281;0.563771416;10.54833615
282;2.39653333;12.29939589
283;1.324791346;16.55644935
284;1.714181284;18.95469888
285;0.647269861;21.28018989
286;1.004455224;23.12222816
287;1.712712688;24.20151661
288;0.035175851;28.03202933
289;0.877767875;31.68007269
290;1.562684891;33.94321299
291;0.520556366;35.45194466
292;1.110539277;36.74116656
293;1.678141414;34.3284554
294;1.398561085;32.85708062
295;0.379945772;32.7680845
296;1.357879373;30.62132235
297;1.071106417;31.7753439
298;1.532129633;34.37309642
299;1.68502277;33.28698531
300;2.680777844;35.03095523
301;2.063009036;35.35629925
302;3.514935736;34.20632221
303;5.169254659;34.06600144
304;6.178090867;31.69387462
305;7.07986101;31.69451818
306;8.38282384;33.17899844
307;10.0197812;35.24644501
308;10.96621136;38.68812877
309;12.74979263;41.5437286
310;12.87004147;44.18145659
311;14.68216559;43.75725678
312;17.23790492;44.05687113
313;18.56461429;44.14348423
314;17.71797193;46.11150021
315;14.70708276;53.77252405
316;12.45593803;62.9510809
317;9.306047668;72.12464643
318;6.581161168;77.63290779
319;8.694060259;77.72640276
320;8.011206972;70.26479426
321;12.79812837;64.47467277
322;16.70038407;59.50689251
323;18.73437894;60.75717468
324;18.3328577;63.04204255
325;17.02572266;67.02773644
326;17.33479302;66.29085751
327;19.97033518;65.47150459
328;21.62315525;60.48267383
329;25.00268209;56.79398971
330;26.27030394;54.15077578
331;26.33553381;52.99095689
332;26.00693335;54.3662077
333;24.75464371;57.65530448
334;23.78705858;60.55198775
335;22.50112843;62.77667968
336;20.05499846;64.31111573
337;19.29764688;66.04983293
338;18.74536696;66.57507895
339;19.02481155;68.2711179
340;18.26325809;68.17571149
341;20.29213019;66.11210652
342;20.67315258;63.42361782
343;24.43279197;61.73942493
344;26.71409494;57.84751271
345;29.02461927;55.07574261
346;30.4957225;52.48313158
347;32.53672917;51.58407626
348;33.66203079;50.51121038
349;34.67953039;50.39595839
350;35.49256137;49.70166457
351;35.99410013;48.93762052
352;37.19837506;48.16102095
353;37.68376036;48.02292182
354;38.54397162;47.05573236
355;39.14410011;46.86942235
356;39.58110202;46.62447206
357;40.12990084;46.65799073
358;41.63162654;46.24625944
359;43.46552007;45.05242131
360;44.90283172;43.38370512
361;46.32865226;42.17819389
362;47.10882098;41.62869392
363;47.7483367;41.97148941
364;48.74682526;42.04912131
365;49.41067831;41.22103819
366;51.23282389;39.43976982
367;53.02294749;37.9077337
368;54.86424365;35.83262519
369;56.65894477;35.00665969
370;57.65448041;33.83011108
371;58.80483572;33.14830058
372;59.12768211;33.36241041
373;57.96395174;34.19265063
374;56.36528323;36.46107026
375;54.23759686;38.7857698
376;52.53099158;40.54130514
377;52.12703154;41.24195985
378;52.6791096;40.91103436
379;54.19217196;39.55586544
380;55.44066992;38.16918289
381;55.55987831;37.81902534
382;54.63481794;38.78169619
383;51.7740947;41.7996027
384;47.38283649;46.64285945
385;42.15980159;52.66192492
386;35.81470937;59.52018309
387;29.05867542;67.17656739
388;22.3758392;74.67801982
389;15.57221715;81.65088482
390;10.06192435;87.72692415
391;5.945677825;92.35000074
392;3.305317239;95.42029837
393;1.835580606;97.14831201
394;1.063430307;98.06181981
395;0.608737726;98.34898237
396;0.439011143;98.83078986
397;0.315248494;98.83023229
398;0.219667439;99.04726337
399;0.277467646;99.0055239
400;0.236698911;98.97222626
401;0.337994044;98.8609437
402;0.209014331;98.9250948
403;0.376834717;98.63287784
404;0.328940602;98.4736674
405;0.777060886;97.88058224
406;1.95500233;96.51317597
407;3.973042026;94.22021224
408;6.61804643;90.7565907
409;9.623545237;87.19456883
410;11.94995267;84.25118192
411;13.06048293;82.71752891
412;13.1301537;82.7088478
413;12.98513318;83.14361064
414;13.60174568;82.82427735
415;15.79627933;80.86390664
416;19.45637321;77.27817175
417;23.48934989;73.27646225
418;27.06531277;69.44647069
419;29.96055579;66.59274048
420;31.82203719;64.68000902
421;34.06499254;62.62047107
422;37.46960136;59.49502439
423;42.08864852;55.08404523
424;47.44749903;49.70544065
425;52.05476423;45.23070345
426;53.48175915;43.77990768
427;51.07886115;46.33143364
428;45.02654863;52.55864184
429;37.36674397;60.47944104
430;30.77853872;67.13584025
431;27.08343868;70.66735112
432;27.01961013;70.57018524
433;29.59407979;67.65178543
434;32.9990432;63.9486372
435;35.77613238;61.20834775
436;36.90688092;60.09038937
437;36.43461544;60.76655563
438;34.91204271;62.54739937
439;32.95961986;64.75031613
440;31.09257252;66.87525782
441;29.54078771;68.31144811
442;28.69406488;69.19985008
443;28.37789064;69.50468154
444;27.88703498;69.70771552
445;27.00696447;70.45812657
446;25.68660583;71.78786444
447;23.88540269;73.6740494
448;22.14783313;75.56785317
449;20.21281884;77.51884399
450;17.91044974;79.75315527
451;15.15132747;82.29881793
452;11.95535174;85.37745486
453;8.665155763;88.53939598
454;5.913933996;91.1950755
455;3.969008065;93.17793629
456;2.650298742;94.52571946
457;1.943696655;95.41738374
458;1.524394221;96.11578951
459;1.198483273;96.71080974
460;0.978617961;97.13401936
461;0.81813189;97.36026602
462;0.794466634;97.41064519
